#              p[0],               p[1],               p[2],             energy,           variance,              error,           gradE[0],        gradVarE[0],           gradE[1],        gradVarE[1],           gradE[2],        gradVarE[2],       elapsed time,      accept. ratio,           MC steps
 5.259136766810e+00, 1.113127530517e+00, 2.002278461378e+00, 4.020557011328e-01, 1.039772507744e-01, 5.386849025260e-05, 3.245042815337e-03,-2.718898721369e-02, 1.262215423113e-02,-6.490712123989e-02, 5.283484926707e-02,-1.207906379623e+00, 2.704302230200e+01, 9.114857670593e-01,           35831808
 5.259167302043e+00, 1.113225314398e+00, 2.002231627364e+00, 4.022298385157e-01, 1.076951615038e-01, 5.482311836403e-05, 3.323750976955e-03,-3.096335622901e-02, 1.299513598334e-02,-6.831276052096e-02, 5.193757236754e-02,-1.378346849597e+00, 2.675924809800e+01, 9.078412398280e-01,           35831808
 5.259167607396e+00, 1.113226292237e+00, 2.002231159024e+00, 4.021761370887e-01, 1.004940575705e-01, 5.295851878967e-05, 3.310884506785e-03,-2.700648730588e-02, 1.254981153591e-02,-7.742882238916e-02, 5.030868225844e-02,-1.138777008986e+00, 2.769259355800e+01, 9.103655054191e-01,           35831808
 5.259167610449e+00, 1.113226302016e+00, 2.002231154341e+00, 4.020632240963e-01, 1.013159682207e-01, 5.317464367733e-05, 3.284457249630e-03,-2.564715330695e-02, 1.324653004329e-02,-6.192333776014e-02, 5.113395200998e-02,-1.151657744884e+00, 2.710187469600e+01, 9.020954231503e-01,           35831808
 5.259167610480e+00, 1.113226302113e+00, 2.002231154294e+00, 4.020194709242e-01, 1.030407033934e-01, 5.362533844661e-05, 3.328709036638e-03,-2.681259510889e-02, 1.333542212103e-02,-6.575988707096e-02, 5.197050826061e-02,-1.224564003213e+00, 2.903188742000e+01, 9.027750985940e-01,           35831808
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.020304825282e-01, 1.051505489805e-01, 5.417156857337e-05, 3.411711799978e-03,-2.969935710539e-02, 1.319795752726e-02,-6.246841166061e-02, 5.329527423024e-02,-1.253260408879e+00, 2.769117069800e+01, 9.124283653228e-01,           35831808
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.020905053274e-01, 1.025777071007e-01, 5.350472452700e-05, 3.203233125733e-03,-2.471608350773e-02, 1.282837434518e-02,-7.603550878256e-02, 5.180872617501e-02,-1.172623432033e+00, 2.694706839600e+01, 8.976437359789e-01,           35831808
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.021705970078e-01, 1.002836533603e-01, 5.290305016764e-05, 3.303848694145e-03,-2.746063860705e-02, 1.256952627655e-02,-7.603773834333e-02, 5.064713877589e-02,-1.132497163406e+00, 2.920556167300e+01, 9.060259532536e-01,           35831808
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.021453092204e-01, 1.036600502286e-01, 5.378625992773e-05, 3.343856975684e-03,-2.694990655107e-02, 1.316364102764e-02,-6.852457910919e-02, 5.269026436812e-02,-1.209664884195e+00, 2.867779773900e+01, 9.022297451471e-01,           35831808
 5.259167610480e+00, 1.113226302114e+00, 2.002231154294e+00, 4.020822871765e-01, 1.037999308870e-01, 5.382253774645e-05, 3.298233143347e-03,-2.763642612744e-02, 1.279012106090e-02,-7.363707483483e-02, 5.290161258815e-02,-1.196580833804e+00, 3.100801106600e+01, 9.022863987215e-01,           35831808
