#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  3.5000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3492802920145e-01,  1.9131004510794e-02,  5.9536362279243e-05
  3.5000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3758922125152e-01,  3.5694253037630e-02,  7.8142704995261e-05
  3.6000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.3116331226197e-01,  1.8734473189282e+01,  1.7983355595658e-03
  3.6000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.8719253499926e-01,  6.1323243246848e+00,  1.0432065463477e-03
  3.6000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6064563639992e-01,  2.4607112317775e+00,  6.5095012868374e-04
  3.6000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4507016849527e-01,  7.7407741976188e-01,  3.6154179819714e-04
  3.6000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3756085774897e-01,  3.1209818607853e-01,  2.2447179917874e-04
  3.6000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3341909566591e-01,  6.4419204139913e-02,  1.0637452087579e-04
  3.6000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3244570227594e-01,  6.7836462015679e-03,  3.8166298693130e-05
  3.6000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3305866693569e-01,  4.1659584450110e-03,  3.2664540234408e-05
  3.6000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3503213258715e-01,  2.0947133435550e-02,  6.3596001168248e-05
  3.6000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3746770144413e-01,  3.1826499425003e-02,  7.4863487308079e-05
  3.7000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.2639702666008e-01,  1.8400311939591e+01,  1.7313592793496e-03
  3.7000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.8588299694225e-01,  6.0688516527278e+00,  1.0399540029929e-03
